,0,1,2,3,4,5,6,7,8,9,mean,var,std
threaded_torch,869.06,859.53,862.32,859.18,868.38,870.55,868.98,866.28,862.67,872.61,865.96,22.37,4.73
threaded_lightning,545.25,539.56,539.9,545.91,533.88,468.18,534.38,540.19,545.85,542.82,533.59,546.83,23.38
asyncio_torch,878.9,844.12,872.14,876.37,867.17,844.67,867.89,858.69,858.51,868.34,863.68,145.72,12.07
asyncio_lightning,549.54,527.53,538.3,541.95,533.22,534.94,542.47,535.62,543.47,538.55,538.56,38.16,6.18
vanilla_torch,582.6,593.25,592.15,584.29,590.23,590.07,507.41,592.65,592.62,594.24,581.95,700.86,26.47
vanilla_lightning,152.49,156.27,154.77,157.09,149.72,156.93,155.57,155.99,156.19,156.96,155.2,5.57,2.36
