images,total_mb,total_time_all_sec,throughput_mbps,throughput_mbitps,throughput_imgps
5000,572.909092,18.174393,31.522874,252.182989,275.112353
5000,574.335078,18.738967,30.649239,245.19391,266.82367
5000,570.736327,17.500057,32.613399,260.907193,285.713363
5000,571.714217,19.787241,28.893074,231.144589,252.68808
5000,569.289079,17.943636,31.726517,253.812133,278.650318
