,0,1,mean,std_dev,var
asyncio_torch,191.82410435405802,191.82410435405802,191.82410435405802,0.0,0.0
threaded_torch,197.4128948845827,197.4128948845827,197.4128948845827,0.0,0.0
vanilla_torch,156.46395718952212,156.46395718952212,156.46395718952212,0.0,0.0
asyncio_lightning,149.7839983278922,149.7839983278922,149.7839983278922,0.0,0.0
threaded_lightning,41.72674606165571,41.72674606165571,41.72674606165571,0.0,0.0
vanilla_lightning,10.377735104236194,10.377735104236194,10.377735104236194,0.0,0.0
