iarai-playground
Warmup ... batch 50, workers 2
Benchmark starts: 0
((5)-get_item) __getitem__ id (139681726342192) 28006.304264068604 ms
((5)-get_item) __getitem__ id (139681726342192) 186.77091598510742 ms
((5)-get_item) __getitem__ id (139681726342192) 141.2193775177002 ms
((5)-get_item) __getitem__ id (139681726342192) 137.00294494628906 ms
((5)-get_item) __getitem__ id (139681726342192) 132.31372833251953 ms
((5)-get_item) __getitem__ id (139681726342192) 148.64873886108398 ms
((5)-get_item) __getitem__ id (139681726342192) 146.30770683288574 ms
((5)-get_item) __getitem__ id (139681726342192) 138.78822326660156 ms
((5)-get_item) __getitem__ id (139681726342192) 144.82545852661133 ms
((5)-get_item) __getitem__ id (139681726342192) 155.61604499816895 ms
((5)-get_item) __getitem__ id (139681726342192) 150.55084228515625 ms
((5)-get_item) __getitem__ id (139681726342192) 141.23988151550293 ms
((5)-get_item) __getitem__ id (139681726342192) 163.8021469116211 ms
((5)-get_item) __getitem__ id (139681726342192) 207.86309242248535 ms
((5)-get_item) __getitem__ id (139681726342192) 139.23144340515137 ms
((5)-get_item) __getitem__ id (139681726342192) 139.47510719299316 ms
((5)-get_item) __getitem__ id (139681726342192) 136.7950439453125 ms
((5)-get_item) __getitem__ id (139681726342192) 151.7798900604248 ms
((5)-get_item) __getitem__ id (139681726342192) 142.20094680786133 ms
((5)-get_item) __getitem__ id (139681726342192) 134.1559886932373 ms
((5)-get_item) __getitem__ id (139681726342192) 132.33184814453125 ms
((5)-get_item) __getitem__ id (139681726342192) 142.2734260559082 ms
((5)-get_item) __getitem__ id (139681726342192) 117.46573448181152 ms
((5)-get_item) __getitem__ id (139681726342192) 139.39738273620605 ms
((5)-get_item) __getitem__ id (139681726342192) 179.34083938598633 ms
((5)-get_item) __getitem__ id (139681726342192) 141.94035530090332 ms
((5)-get_item) __getitem__ id (139681726342192) 147.85027503967285 ms
((5)-get_item) __getitem__ id (139681726342192) 143.60928535461426 ms
((5)-get_item) __getitem__ id (139681726342192) 145.63822746276855 ms
((5)-get_item) __getitem__ id (139681726342192) 131.364107131958 ms
((5)-get_item) __getitem__ id (139681726342192) 143.4931755065918 ms
((5)-get_item) __getitem__ id (139681726342192) 130.40661811828613 ms
((5)-get_item) __getitem__ id (139681726342192) 122.7879524230957 ms
((5)-get_item) __getitem__ id (139681726342192) 127.09522247314453 ms
((5)-get_item) __getitem__ id (139681726342192) 147.63641357421875 ms
((5)-get_item) __getitem__ id (139681726342192) 145.65563201904297 ms
((5)-get_item) __getitem__ id (139681726342192) 142.24958419799805 ms
((5)-get_item) __getitem__ id (139681726342192) 150.06160736083984 ms
((5)-get_item) __getitem__ id (139681726342192) 130.5537223815918 ms
((5)-get_item) __getitem__ id (139681726342192) 158.8613986968994 ms
