iarai-playground
Warmup ... batch 50, workers 32
Benchmark starts: 0
((5)-get_item) __getitem__ id (140561962304560) 29309.20457839966 ms
((5)-get_item) __getitem__ id (140561962304560) 175.52804946899414 ms
((5)-get_item) __getitem__ id (140561962304560) 152.1434783935547 ms
((5)-get_item) __getitem__ id (140561962304560) 147.89676666259766 ms
((5)-get_item) __getitem__ id (140561962304560) 153.13124656677246 ms
((5)-get_item) __getitem__ id (140561962304560) 149.97005462646484 ms
((5)-get_item) __getitem__ id (140561962304560) 169.75140571594238 ms
((5)-get_item) __getitem__ id (140561962304560) 148.33879470825195 ms
((4)-threadedmapdataset-fetcher) fetch id (140561962342144) 30406.18896484375 ms
((5)-get_item) __getitem__ id (140561962304560) 158.68520736694336 ms
((5)-get_item) __getitem__ id (140561962304560) 157.11617469787598 ms
((5)-get_item) __getitem__ id (140561962304560) 132.56597518920898 ms
((5)-get_item) __getitem__ id (140561962304560) 137.94612884521484 ms
((5)-get_item) __getitem__ id (140561962304560) 155.71856498718262 ms
((5)-get_item) __getitem__ id (140561962304560) 150.1903533935547 ms
((5)-get_item) __getitem__ id (140561962304560) 129.21619415283203 ms
((5)-get_item) __getitem__ id (140561962304560) 143.10669898986816 ms
((4)-threadedmapdataset-fetcher) fetch id (140561962342144) 1164.7427082061768 ms
((3)-worker_loop) _worker_loop id (140561962373472) 31658.97226333618 ms
((5)-get_item) __getitem__ id (139859383444528) 29311.25831604004 ms
((5)-get_item) __getitem__ id (139859383444528) 187.17432022094727 ms
((5)-get_item) __getitem__ id (139859383444528) 174.20125007629395 ms
((5)-get_item) __getitem__ id (139859383444528) 140.1820182800293 ms
((5)-get_item) __getitem__ id (139859383444528) 128.27372550964355 ms
((5)-get_item) __getitem__ id (139859383444528) 139.16993141174316 ms
((5)-get_item) __getitem__ id (139859383444528) 154.62660789489746 ms
((5)-get_item) __getitem__ id (139859383444528) 144.3638801574707 ms
((4)-threadedmapdataset-fetcher) fetch id (139859383482112) 30379.462242126465 ms
((5)-get_item) __getitem__ id (139859383444528) 176.5892505645752 ms
((5)-get_item) __getitem__ id (139859383444528) 171.14686965942383 ms
((5)-get_item) __getitem__ id (139859383444528) 139.3890380859375 ms
((5)-get_item) __getitem__ id (139859383444528) 137.98904418945312 ms
((5)-get_item) __getitem__ id (139859383444528) 162.37878799438477 ms
((5)-get_item) __getitem__ id (139859383444528) 160.30550003051758 ms
((5)-get_item) __getitem__ id (139859383444528) 137.56632804870605 ms
((5)-get_item) __getitem__ id (139859383444528) 129.23741340637207 ms
((4)-threadedmapdataset-fetcher) fetch id (139859383482112) 1214.792013168335 ms
((3)-worker_loop) _worker_loop id (139859365335392) 31681.491136550903 ms
((2)-load_single) load_single id (140058335163440) 43273.157835006714 ms
Benchmark done: 0
Benchmark starts: 1
((5)-get_item) __getitem__ id (139806023070768) 28375.909566879272 ms
((5)-get_item) __getitem__ id (139806023070768) 170.06564140319824 ms
((5)-get_item) __getitem__ id (139806023070768) 165.85063934326172 ms
((5)-get_item) __getitem__ id (139806023070768) 123.76856803894043 ms
((5)-get_item) __getitem__ id (139806023070768) 143.77284049987793 ms
((5)-get_item) __getitem__ id (139806023070768) 122.5123405456543 ms
((5)-get_item) __getitem__ id (139806023070768) 134.80710983276367 ms
((5)-get_item) __getitem__ id (139806023070768) 142.35877990722656 ms
((4)-threadedmapdataset-fetcher) fetch id (139806023108352) 29379.31180000305 ms
((5)-get_item) __getitem__ id (139806023070768) 132.56382942199707 ms
((5)-get_item) __getitem__ id (139806023070768) 131.07681274414062 ms
((5)-get_item) __getitem__ id (139806023070768) 126.27673149108887 ms
((5)-get_item) __getitem__ id (139806023070768) 120.27120590209961 ms
((5)-get_item) __getitem__ id (139806023070768) 127.04157829284668 ms
((5)-get_item) __getitem__ id (139806023070768) 141.4928436279297 ms
((5)-get_item) __getitem__ id (139806023070768) 119.140625 ms
((5)-get_item) __getitem__ id (139806023070768) 123.74997138977051 ms
((4)-threadedmapdataset-fetcher) fetch id (139806023108352) 1021.8102931976318 ms
((3)-worker_loop) _worker_loop id (139806004957536) 30436.492919921875 ms
((5)-get_item) __getitem__ id (139898793210928) 28795.111894607544 ms
((5)-get_item) __getitem__ id (139898793210928) 178.1463623046875 ms
((5)-get_item) __getitem__ id (139898793210928) 138.7782096862793 ms
((5)-get_item) __getitem__ id (139898793210928) 135.54620742797852 ms
((5)-get_item) __getitem__ id (139898793210928) 115.22436141967773 ms
((5)-get_item) __getitem__ id (139898793210928) 139.56236839294434 ms
((5)-get_item) __getitem__ id (139898793210928) 138.54384422302246 ms
((5)-get_item) __getitem__ id (139898793210928) 136.35802268981934 ms
((4)-threadedmapdataset-fetcher) fetch id (139898793248512) 29777.51636505127 ms
((5)-get_item) __getitem__ id (139898793210928) 155.90572357177734 ms
((5)-get_item) __getitem__ id (139898793210928) 130.71084022521973 ms
((5)-get_item) __getitem__ id (139898793210928) 123.08883666992188 ms
((5)-get_item) __getitem__ id (139898793210928) 127.85863876342773 ms
((5)-get_item) __getitem__ id (139898793210928) 134.64784622192383 ms
((5)-get_item) __getitem__ id (139898793210928) 137.15648651123047 ms
((5)-get_item) __getitem__ id (139898793210928) 133.06093215942383 ms
((5)-get_item) __getitem__ id (139898793210928) 140.74993133544922 ms
((4)-threadedmapdataset-fetcher) fetch id (139898793248512) 1083.3666324615479 ms
((3)-worker_loop) _worker_loop id (139898775097696) 30896.294355392456 ms
((2)-load_single) load_single id (140058335163440) 42257.17735290527 ms
Benchmark done: 1
Benchmark starts: 2
((5)-get_item) __getitem__ id (139668914377776) 27052.374362945557 ms
((5)-get_item) __getitem__ id (139668914377776) 155.89189529418945 ms
((5)-get_item) __getitem__ id (139668914377776) 162.36329078674316 ms
((5)-get_item) __getitem__ id (139668914377776) 133.7430477142334 ms
((5)-get_item) __getitem__ id (139668914377776) 106.7662239074707 ms
((5)-get_item) __getitem__ id (139668914377776) 108.24298858642578 ms
((5)-get_item) __getitem__ id (139668914377776) 132.84015655517578 ms
((5)-get_item) __getitem__ id (139668914377776) 108.49738121032715 ms
((4)-threadedmapdataset-fetcher) fetch id (139668914415360) 27961.071014404297 ms
((5)-get_item) __getitem__ id (139668914377776) 132.74908065795898 ms
((5)-get_item) __getitem__ id (139668914377776) 114.96233940124512 ms
((5)-get_item) __getitem__ id (139668914377776) 132.28988647460938 ms
((5)-get_item) __getitem__ id (139668914377776) 144.82641220092773 ms
((5)-get_item) __getitem__ id (139668914377776) 119.05121803283691 ms
((5)-get_item) __getitem__ id (139668914377776) 127.59232521057129 ms
((5)-get_item) __getitem__ id (139668914377776) 120.24807929992676 ms
((5)-get_item) __getitem__ id (139668914377776) 121.36626243591309 ms
((4)-threadedmapdataset-fetcher) fetch id (139668914415360) 1013.3380889892578 ms
((3)-worker_loop) _worker_loop id (139668896264544) 29002.93731689453 ms
((5)-get_item) __getitem__ id (140295108498480) 27143.335580825806 ms
((5)-get_item) __getitem__ id (140295108498480) 153.90610694885254 ms
((5)-get_item) __getitem__ id (140295108498480) 149.9040126800537 ms
((5)-get_item) __getitem__ id (140295108498480) 114.58611488342285 ms
((5)-get_item) __getitem__ id (140295108498480) 130.10621070861816 ms
((5)-get_item) __getitem__ id (140295108498480) 156.11767768859863 ms
((5)-get_item) __getitem__ id (140295108498480) 120.21994590759277 ms
((5)-get_item) __getitem__ id (140295108498480) 124.98855590820312 ms
((4)-threadedmapdataset-fetcher) fetch id (140295108536064) 28093.37306022644 ms
((5)-get_item) __getitem__ id (140295108498480) 129.8692226409912 ms
((5)-get_item) __getitem__ id (140295108498480) 119.7056770324707 ms
((5)-get_item) __getitem__ id (140295108498480) 126.45530700683594 ms
((5)-get_item) __getitem__ id (140295108498480) 115.14759063720703 ms
((5)-get_item) __getitem__ id (140295108498480) 130.8302879333496 ms
((5)-get_item) __getitem__ id (140295108498480) 113.40713500976562 ms
((5)-get_item) __getitem__ id (140295108498480) 113.83247375488281 ms
((5)-get_item) __getitem__ id (140295108498480) 121.68574333190918 ms
((4)-threadedmapdataset-fetcher) fetch id (140295108536064) 971.2016582489014 ms
((3)-worker_loop) _worker_loop id (140295090385248) 29092.995405197144 ms
((2)-load_single) load_single id (140058335163440) 40453.139781951904 ms
Benchmark done: 2
Benchmark starts: 3
((5)-get_item) __getitem__ id (140051256337456) 27638.11469078064 ms
((5)-get_item) __getitem__ id (140051256337456) 161.54146194458008 ms
((5)-get_item) __getitem__ id (140051256337456) 165.02714157104492 ms
((5)-get_item) __getitem__ id (140051256337456) 147.993803024292 ms
((5)-get_item) __getitem__ id (140051256337456) 112.38455772399902 ms
((5)-get_item) __getitem__ id (140051256337456) 120.81217765808105 ms
((5)-get_item) __getitem__ id (140051256337456) 173.41852188110352 ms
((5)-get_item) __getitem__ id (140051256337456) 121.21701240539551 ms
((4)-threadedmapdataset-fetcher) fetch id (140051256375040) 28640.75231552124 ms
((5)-get_item) __getitem__ id (140051256337456) 137.70604133605957 ms
((5)-get_item) __getitem__ id (140051256337456) 135.6513500213623 ms
((5)-get_item) __getitem__ id (140051256337456) 121.18697166442871 ms
((5)-get_item) __getitem__ id (140051256337456) 125.63538551330566 ms
((5)-get_item) __getitem__ id (140051256337456) 128.1900405883789 ms
((5)-get_item) __getitem__ id (140051256337456) 134.96971130371094 ms
((5)-get_item) __getitem__ id (140051256337456) 125.35452842712402 ms
((5)-get_item) __getitem__ id (140051256337456) 131.93750381469727 ms
((4)-threadedmapdataset-fetcher) fetch id (140051256375040) 1040.8542156219482 ms
((3)-worker_loop) _worker_loop id (140051238228320) 29715.13819694519 ms
((5)-get_item) __getitem__ id (139789535601712) 28346.816539764404 ms
((5)-get_item) __getitem__ id (139789535601712) 169.8911190032959 ms
((5)-get_item) __getitem__ id (139789535601712) 166.8708324432373 ms
((5)-get_item) __getitem__ id (139789535601712) 125.1535415649414 ms
((5)-get_item) __getitem__ id (139789535601712) 113.95025253295898 ms
((5)-get_item) __getitem__ id (139789535601712) 122.36905097961426 ms
((5)-get_item) __getitem__ id (139789535601712) 117.76971817016602 ms
((5)-get_item) __getitem__ id (139789535601712) 118.91865730285645 ms
((4)-threadedmapdataset-fetcher) fetch id (139789535639296) 29282.00054168701 ms
((5)-get_item) __getitem__ id (139789535601712) 157.71484375 ms
((5)-get_item) __getitem__ id (139789535601712) 130.0501823425293 ms
((5)-get_item) __getitem__ id (139789535601712) 125.63538551330566 ms
((5)-get_item) __getitem__ id (139789535601712) 126.01923942565918 ms
((5)-get_item) __getitem__ id (139789535601712) 126.12128257751465 ms
((5)-get_item) __getitem__ id (139789535601712) 119.13561820983887 ms
((5)-get_item) __getitem__ id (139789535601712) 124.19581413269043 ms
((5)-get_item) __getitem__ id (139789535601712) 127.34198570251465 ms
((4)-threadedmapdataset-fetcher) fetch id (139789535639296) 1036.4277362823486 ms
((3)-worker_loop) _worker_loop id (139789517488480) 30352.33426094055 ms
((2)-load_single) load_single id (140058335163440) 41686.62619590759 ms
Benchmark done: 3
Benchmark starts: 4
((5)-get_item) __getitem__ id (140127458665520) 28192.58451461792 ms
((5)-get_item) __getitem__ id (140127458665520) 169.9838638305664 ms
((5)-get_item) __getitem__ id (140127458665520) 156.2488079071045 ms
((5)-get_item) __getitem__ id (140127458665520) 118.14117431640625 ms
((5)-get_item) __getitem__ id (140127458665520) 119.40836906433105 ms
((5)-get_item) __getitem__ id (140127458665520) 111.25612258911133 ms
((5)-get_item) __getitem__ id (140127458665520) 118.85333061218262 ms
((5)-get_item) __getitem__ id (140127458665520) 113.82126808166504 ms
((4)-threadedmapdataset-fetcher) fetch id (140127458703104) 29100.484609603882 ms
((5)-get_item) __getitem__ id (140127458665520) 114.74943161010742 ms
((5)-get_item) __getitem__ id (140127458665520) 114.1209602355957 ms
((5)-get_item) __getitem__ id (140127458665520) 111.2508773803711 ms
((5)-get_item) __getitem__ id (140127458665520) 116.79959297180176 ms
((5)-get_item) __getitem__ id (140127458665520) 113.93404006958008 ms
((5)-get_item) __getitem__ id (140127458665520) 108.17098617553711 ms
((5)-get_item) __getitem__ id (140127458665520) 133.35323333740234 ms
((5)-get_item) __getitem__ id (140127458665520) 112.18452453613281 ms
((4)-threadedmapdataset-fetcher) fetch id (140127458703104) 924.7121810913086 ms
((3)-worker_loop) _worker_loop id (140127440556384) 30051.234006881714 ms
((5)-get_item) __getitem__ id (140242181067824) 28277.580976486206 ms
((5)-get_item) __getitem__ id (140242181067824) 151.28159523010254 ms
((5)-get_item) __getitem__ id (140242181067824) 108.99996757507324 ms
((5)-get_item) __getitem__ id (140242181067824) 109.81273651123047 ms
((5)-get_item) __getitem__ id (140242181067824) 109.6334457397461 ms
((5)-get_item) __getitem__ id (140242181067824) 109.10439491271973 ms
((5)-get_item) __getitem__ id (140242181067824) 113.39807510375977 ms
((5)-get_item) __getitem__ id (140242181067824) 118.81589889526367 ms
((4)-threadedmapdataset-fetcher) fetch id (140242181105408) 29098.864555358887 ms
((5)-get_item) __getitem__ id (140242181067824) 127.81596183776855 ms
((5)-get_item) __getitem__ id (140242181067824) 115.84615707397461 ms
((5)-get_item) __getitem__ id (140242181067824) 107.54275321960449 ms
((5)-get_item) __getitem__ id (140242181067824) 112.08796501159668 ms
((5)-get_item) __getitem__ id (140242181067824) 116.38522148132324 ms
((5)-get_item) __getitem__ id (140242181067824) 109.26651954650879 ms
((5)-get_item) __getitem__ id (140242181067824) 113.35301399230957 ms
((5)-get_item) __getitem__ id (140242181067824) 115.53382873535156 ms
((4)-threadedmapdataset-fetcher) fetch id (140242181105408) 918.0209636688232 ms
((3)-worker_loop) _worker_loop id (140242181140832) 30054.286241531372 ms
((2)-load_single) load_single id (140058335163440) 41511.01899147034 ms
Benchmark done: 4
Benchmark starts: 5
((5)-get_item) __getitem__ id (140367246820400) 27336.395978927612 ms
((5)-get_item) __getitem__ id (140367246820400) 144.32024955749512 ms
((5)-get_item) __getitem__ id (140367246820400) 147.85313606262207 ms
((5)-get_item) __getitem__ id (140367246820400) 100.84939002990723 ms
((5)-get_item) __getitem__ id (140367246820400) 109.04884338378906 ms
((5)-get_item) __getitem__ id (140367246820400) 149.20759201049805 ms
((5)-get_item) __getitem__ id (140367246820400) 114.64214324951172 ms
((5)-get_item) __getitem__ id (140367246820400) 106.54473304748535 ms
((4)-threadedmapdataset-fetcher) fetch id (140367246857984) 28209.075212478638 ms
((5)-get_item) __getitem__ id (140367246820400) 116.31894111633301 ms
((5)-get_item) __getitem__ id (140367246820400) 109.62796211242676 ms
