iarai-playground
Warmup ... batch 50, workers 16
Benchmark starts: 0
((5)-get_item) __getitem__ id (140605606347824) 27854.36773300171 ms
((5)-get_item) __getitem__ id (140605606347824) 187.2541904449463 ms
((5)-get_item) __getitem__ id (140605606347824) 173.7070083618164 ms
((5)-get_item) __getitem__ id (140605606347824) 140.44904708862305 ms
((5)-get_item) __getitem__ id (140605606347824) 177.70099639892578 ms
((5)-get_item) __getitem__ id (140605606347824) 142.54498481750488 ms
((5)-get_item) __getitem__ id (140605606347824) 161.64374351501465 ms
((5)-get_item) __getitem__ id (140605606347824) 151.30615234375 ms
((4)-threadedmapdataset-fetcher) fetch id (140605606385408) 28989.216327667236 ms
((3)-worker_loop) _worker_loop id (140605588234592) 31058.40563774109 ms
((5)-get_item) __getitem__ id (139681395733552) 27745.964288711548 ms
((5)-get_item) __getitem__ id (139681395733552) 181.99563026428223 ms
((5)-get_item) __getitem__ id (139681395733552) 150.27165412902832 ms
((5)-get_item) __getitem__ id (139681395733552) 139.70446586608887 ms
((5)-get_item) __getitem__ id (139681395733552) 139.85395431518555 ms
((5)-get_item) __getitem__ id (139681395733552) 147.9034423828125 ms
((5)-get_item) __getitem__ id (139681395733552) 145.00999450683594 ms
((5)-get_item) __getitem__ id (139681395733552) 132.09223747253418 ms
((4)-threadedmapdataset-fetcher) fetch id (139681395771136) 28783.0548286438 ms
((5)-get_item) __getitem__ id (139681395733552) 145.22957801818848 ms
((5)-get_item) __getitem__ id (139681395733552) 137.8185749053955 ms
((5)-get_item) __getitem__ id (139681395733552) 124.22537803649902 ms
((5)-get_item) __getitem__ id (139681395733552) 156.17609024047852 ms
((5)-get_item) __getitem__ id (139681395733552) 153.7322998046875 ms
((5)-get_item) __getitem__ id (139681395733552) 151.7481803894043 ms
((5)-get_item) __getitem__ id (139681395733552) 128.83758544921875 ms
((5)-get_item) __getitem__ id (139681395733552) 139.4064426422119 ms
((4)-threadedmapdataset-fetcher) fetch id (139681395771136) 1137.4075412750244 ms
((3)-worker_loop) _worker_loop id (139681377620320) 31989.673137664795 ms
((2)-load_single) load_single id (139911846663216) 43781.784534454346 ms
Benchmark done: 0
Benchmark starts: 1
((5)-get_item) __getitem__ id (140323069678640) 27465.219259262085 ms
((5)-get_item) __getitem__ id (140323069678640) 172.14155197143555 ms
((5)-get_item) __getitem__ id (140323069678640) 169.43979263305664 ms
((5)-get_item) __getitem__ id (140323069678640) 122.38430976867676 ms
((5)-get_item) __getitem__ id (140323069678640) 136.8274688720703 ms
((5)-get_item) __getitem__ id (140323069678640) 131.22272491455078 ms
((5)-get_item) __getitem__ id (140323069678640) 135.3011131286621 ms
((5)-get_item) __getitem__ id (140323069678640) 127.57301330566406 ms
((4)-threadedmapdataset-fetcher) fetch id (140323069716224) 28460.315227508545 ms
((3)-worker_loop) _worker_loop id (140323051565408) 28489.588737487793 ms
((5)-get_item) __getitem__ id (139742037939248) 26881.376266479492 ms
((5)-get_item) __getitem__ id (139742037939248) 178.7278652191162 ms
((5)-get_item) __getitem__ id (139742037939248) 131.89148902893066 ms
((5)-get_item) __getitem__ id (139742037939248) 165.47346115112305 ms
((5)-get_item) __getitem__ id (139742037939248) 115.39363861083984 ms
((5)-get_item) __getitem__ id (139742037939248) 143.82100105285645 ms
((5)-get_item) __getitem__ id (139742037939248) 121.54173851013184 ms
((5)-get_item) __getitem__ id (139742037939248) 144.3185806274414 ms
((4)-threadedmapdataset-fetcher) fetch id (139742037976832) 27882.718563079834 ms
((5)-get_item) __getitem__ id (139742037939248) 133.500337600708 ms
((5)-get_item) __getitem__ id (139742037939248) 162.31822967529297 ms
((5)-get_item) __getitem__ id (139742037939248) 143.87154579162598 ms
((5)-get_item) __getitem__ id (139742037939248) 133.35657119750977 ms
((5)-get_item) __getitem__ id (139742037939248) 123.92735481262207 ms
((5)-get_item) __getitem__ id (139742037939248) 130.66720962524414 ms
((5)-get_item) __getitem__ id (139742037939248) 138.44037055969238 ms
((5)-get_item) __getitem__ id (139742037939248) 155.30872344970703 ms
((4)-threadedmapdataset-fetcher) fetch id (139742037976832) 1121.5999126434326 ms
((3)-worker_loop) _worker_loop id (139742019830112) 29033.936262130737 ms
((2)-load_single) load_single id (139911846663216) 40355.26084899902 ms
Benchmark done: 1
Benchmark starts: 2
((5)-get_item) __getitem__ id (140204002640944) 28845.207452774048 ms
((5)-get_item) __getitem__ id (140204002640944) 186.2020492553711 ms
((5)-get_item) __getitem__ id (140204002640944) 187.70456314086914 ms
((5)-get_item) __getitem__ id (140204002640944) 115.2961254119873 ms
((5)-get_item) __getitem__ id (140204002640944) 121.5057373046875 ms
((5)-get_item) __getitem__ id (140204002640944) 132.7066421508789 ms
((5)-get_item) __getitem__ id (140204002640944) 119.7519302368164 ms
((5)-get_item) __getitem__ id (140204002640944) 112.07795143127441 ms
((4)-threadedmapdataset-fetcher) fetch id (140204002678528) 29820.65773010254 ms
((5)-get_item) __getitem__ id (140204002640944) 145.26605606079102 ms
((5)-get_item) __getitem__ id (140204002640944) 141.13235473632812 ms
((5)-get_item) __getitem__ id (140204002640944) 144.0715789794922 ms
((5)-get_item) __getitem__ id (140204002640944) 146.64673805236816 ms
((5)-get_item) __getitem__ id (140204002640944) 138.11016082763672 ms
((5)-get_item) __getitem__ id (140204002640944) 144.90866661071777 ms
((5)-get_item) __getitem__ id (140204002640944) 151.14808082580566 ms
((5)-get_item) __getitem__ id (140204002640944) 154.6638011932373 ms
((4)-threadedmapdataset-fetcher) fetch id (140204002678528) 1166.140079498291 ms
((3)-worker_loop) _worker_loop id (140203984527712) 31014.716386795044 ms
((5)-get_item) __getitem__ id (140237898224688) 29423.33221435547 ms
((5)-get_item) __getitem__ id (140237898224688) 162.40930557250977 ms
((5)-get_item) __getitem__ id (140237898224688) 122.54118919372559 ms
((5)-get_item) __getitem__ id (140237898224688) 121.37818336486816 ms
((5)-get_item) __getitem__ id (140237898224688) 109.31181907653809 ms
((5)-get_item) __getitem__ id (140237898224688) 157.2427749633789 ms
((5)-get_item) __getitem__ id (140237898224688) 122.73144721984863 ms
((5)-get_item) __getitem__ id (140237898224688) 119.24076080322266 ms
((4)-threadedmapdataset-fetcher) fetch id (140237898262272) 30338.457107543945 ms
((5)-get_item) __getitem__ id (140237898224688) 129.18972969055176 ms
((5)-get_item) __getitem__ id (140237898224688) 118.93081665039062 ms
((5)-get_item) __getitem__ id (140237898224688) 106.74381256103516 ms
