,0,1,2,3,4,5,6,7,8,9,mean,var,std
threaded_torch,900.48,908.0,957.45,910.19,911.13,908.61,911.0,912.55,915.0,897.58,913.2,270.42,16.44
threaded_lightning,598.15,599.82,600.15,613.7,603.85,602.64,600.58,591.45,606.94,594.11,601.14,39.59,6.29
asyncio_torch,886.44,899.39,909.95,949.63,911.01,945.47,912.44,898.34,902.25,890.03,910.5,455.07,21.33
asyncio_lightning,574.03,593.38,604.68,612.42,608.05,603.15,598.15,595.28,596.46,603.29,598.89,111.76,10.57
vanilla_torch,360.32,532.52,537.28,329.29,532.64,536.75,371.98,532.8,500.26,425.1,465.89,7217.61,84.96
vanilla_lightning,132.78,139.82,143.78,130.95,104.84,144.36,104.64,100.8,110.67,107.57,122.02,318.9,17.86
